cancel vt.取消
twig n．小枝，嫩枝，v．理解
mash v．捣成糊状
bath n.洗澡；浴室；澡盆
twin n.双胞胎之一
mask n.口罩；面罩(具)；遮盖物v.戴面具；掩饰；伪装
chaste adj．贞洁的，朴实的
canary n．金丝雀，女歌星
apply v.申请
stew vt.炖vi.炖着n.炖肉
ethereal adj.太空的，轻巧的
catch(caught) v.接住；捉住；赶上；染上（疾病）
arabesque n．蔓藤图饰
mare n．母马
disagree vi.意见不一致，持不同意见
schoolyard n.校园
abacus n．算盘
bask v.晒太阳,取暖
canard n．谣言，假新闻
formula n.公式，式
step n.脚步,台阶,梯级vi.走,跨步
mark n.标记vt.标明,作记号于
temperance n．自制，节制，禁酒
tribute n．贡物，赞辞
base n.根据地，基地（棒球）垒
stem n（植物的）茎，叶柄，v．阻止，遏制（水流等）
impedimenta n．随身携带物，行李
subordinate adj．附属的n．部下，下属
trend n.趋势，倾向，动态
ungainly adj．笨拙的，不雅的
reminisce v．追忆，怀旧
itinerary n．行程表，旅行路线
pugnacious adj．好斗的
incentive n．刺激，鼓励
relate vi.有关；涉及
repudiate v．拒绝，抛弃
maul v．撕裂皮肉，伤害
mishap n．不幸，坏运气
devious adj．不正直的，弯曲的
biology n.生物（学）
exceptional adj.特别(好)的
cattle n.牛（总称），家畜
impale v．刺穿，刺住
pen-friend n.笔友
convince v.使确信，使信服
mate n.伙伴，同事；配偶
missionary n.传教士
math n.（美式拼法）数学
theory n.理论
spanking adj．轻快的，敏捷的
forehead n.前额
secret n.秘密，内情
foundation n.基础；地基；基金
across prep.横过，穿过
identity n.身份，特征
ear n.耳朵.耳状物；听力，听觉
eat v.吃
congregation n．集合在一起的群众
snobbish adj．势利眼的
mistimed adj．不合时机的
solitude n．孤独
reward n.奖赏
ebb v．退潮、衰退
disagreement n.意见不一致；相违；争论
disagreeable adj．讨厌的、乖戾的
juice n.汁、液
gathering n.集会，聚会，聚集
opinion n.看法，见解
monastery n．男修道院，僧院
soldier n.士兵，战士
devotion n.奉献，奉献精神
juicy a.多汁的；水分多的
bawl v.大叫,大喊
incarnation n．具体化，化身
devour v．吞食，（一口气）读完
stir vt.动；拨动；激动
escort v．护送n．护送者
appal v．使惊骇，使恐怖
existence n.存在；生存；存在物
pretence n虚伪,借口
hospitall n.医院
maze n．迷宫
disputatious adj．好争辩的
defendant n．被告
exaggerate v.夸张,夸大
locution n．说话的方式或语气，惯用语
streamline n.流线；流线型
spell vt.拼写
perfectionist n．力求完美者，吹毛求疵者
recidivism n．累犯，重犯
combustion n.燃烧
finicky adj．苛求的，过份讲究的
concerto n．协奏曲
thrust v．猛力推，刺，戳
weaver n.织布工，编织者
commence v.开始，倡导
sporadic adj．不定时发生的，零星的
configuration n．轮廓，结构
pollster n．民意测验家
spherical a.球形的，球面的
platform n.讲台,(车站的)月台
percussionist n．敲击乐器乐师
enmity n．敌意，仇恨
sojourn v．n．逗留，寄居
provenance n．(艺术等的)出处,起源
spend (spent,spent)v.度过；花费（钱、时间等）
degrade v．降格，降级
fairness n.公平；公正
monolithic adj．巨石的，巨大的
martyr n．烈士，殉道者
undaunted adj．不屈不挠的，无畏的
advantage n.优点；好处
abortive adj．无结果的，失败的
fabricate v．控造,制造
knoll n．小圆丘
seduce v．勾引、诱惑
communist n.共产主义者a.共产党的；共产主义的
exception n.例外,异议
temporary a.短暂的，暂时的
habitat n．自然环境，栖息地
egg n.蛋；卵
hardheaded adj．（商业上）现实的，精明的
mayhem n．严重伤害罪，混乱
year n.年
awful a.很坏的，极讨厌的
sacrament n．圣礼，圣事
yeah adv.（口语）是的；嗯（yes）
ego n.自我，自负，利已主义；(心理学)自我意识
branch n.树枝；分枝；分公司，分店；支部
anguish n．极大痛苦
chimera n．神话怪物，梦幻
oscillation n．振动，踌躇
neat a.整洁的；灵巧的
understanding n.领会;理解
near a.近的ad.附近，邻近prep.在……附近，靠近
silence n.安静，沉默
extortion n．强取
fairy n.神仙,娘娘腔男人
hermit n．隐士，修道者
ragged adj．破烂的，（表面）凹凸不平的
sanctuary n．圣堂，避难所
inviting adj．诱人的，引人入胜的．
proportional a.比例的；相称的
economy n.经济；节约，节省
packet n.小包裹，袋
ailment n．（不严重的）疾病
community n.社区；社会；公社
version n.变体，变种，改写本
cocoa n.可可粉
stop n.停；（停车）站v.停，停止，阻止
flirt v．挑逗，调戏
sinecure n．挂名差事，闲职
despotic adj．专横的、暴虐的
discomfit v．使懊恼、难堪
prudence n．谨慎,小心
exhale v.呼出(气)
BC n.公元前
immediately ad.立即
abrasion n．表面磨损
cede v．割让（土地，权利）
insolvent adj．无钱还债的
submarine a.水下的n.潜水艇
clannish adj.排他的，门户之见的
musician n.音乐家，乐师
perceptive adj．感觉敏锐的
CD 光盘(compactdisk的缩写)
neck n.颈，脖子
logical a.逻辑的；符合逻辑的
stunt v．阻碍（成长），n．特技，绝技
characterize vt.表示…的特性
ridiculous a.荒谬的，愚蠢的
intrusion n．私闯，干扰
wraith n．幽灵，骨瘦如柴的人
theatre(theater) n.剧场；戏院
labourer(laborer) n.体力劳动者
severe a.极为恶劣,十分严重的
immoderate adj．无节制的，过度的
communism n.共产主义
brandy n.白兰地酒
evidence n.证据，证明
errand n．差使,差事
garnish v．装饰（于食品上）
stun v．使昏迷，使发愣
woeful adj．悲伤的
fling vi.&vt.(用力)扔，抛
mollify v．安慰，安抚
truncheon n．警棍，警棒
cottage n.(郊外)小屋,村舍,别墅
serpent n.蛇(尤指大蛇或毒蛇)
melon n.（甜）瓜；瓜状物
kindle v．着火、点燃
faint a.微弱的；虚弱的
minister n.部长；牧师
need n.需要,需求aux.&v.需要,必须
elm n．榆树
typewriter n.打字机
cephalic adj．头的，头部的
nefarious adj．违法的，邪恶的
mettlesome adj．精神抖擞的
errant adj．错误的，脱离正途的
guideline n.指导方针，指导原则，准则，标准
loose a.松散的；宽松的
flint n．打火石，燧石
loathsome adj．可憎的，令人作呕的
hardly ad.几乎不
program(英programme) n.程序；项目；节目
smutty adj．淫秽的
rigidity n．固执，坚定，僵化
narcotic n．催眠药adj．催眠的
paucity n．小量，缺乏
constituent n．成份，选区内的选民
meretricious adj．华而不实的，俗艳的
end n.末尾；终点；结束v.结束，终止
packed adj．充满人的，拥挤的
forty num.四十
pageant n．壮观的游行，露天历史剧
aplomb n．沉着，镇静
slippery a.滑的，使人滑跤的
forum n．辩论的场所，讲坛
contempt n．轻视，鄙视
fulminate v．猛烈抨击，严厉谴责
figurative adj．比喻的，借喻的
betray v.出卖,泄露（机密）,辜负
pronounce vt.发音
have(has,had,had) vt.有；吃；喝；进行；经受
reproduction n．生殖，复制
decorate vt.装饰…，修饰…
gutless adj．没有勇气的，懦怯的
education n.教育，培养
occupation n.职业，工作
slacken v．（使）松弛，放松
usurious adj．放高利贷的
liberate vt.解放，使获自由
gangster n.匪徒，歹徒，暴徒
gradually ad.逐渐地
aspire vi.(to，after)渴望，追求，有志于
outbreak n.(战争、愤怒等)爆发
ID n.(identity的缩写)身份（证）
fleeting adj．短暂的，飞逝的
seventy num.七十
momentous adj．极重要的，严重的
allegiance n．忠诚，拥护
forte n．长处，擅长，adj．（音乐）强音的
forth ad.向前；向外，往外
leopard n.豹
seventh num.第七
supercilious adj．目中无人的，高傲的
debility n．衰弱，虚弱
malediction n．诅咒
cell n.（监狱的）单人牢房；（修道院等的）单人小室；（蜂巢的）小蜂窝，蜂房；［生物］细胞
isn't .＝isnot
valid a.有效的,合理的,有根据的
filings n．锉屑
era n.时代，年代；纪元
vacillate v．游移不定，踌躇
cataclysm n．剧变，灾难（常指大洪水或地震）
elucidate v.阐明说明
antarctic a.南极的n.南极区
elope v.私奔
television n.电视
showpiece n．陈列品、精品、样品
dispel v．驱散，消除
nonesuch n．无匹敌的人，无双的人
overpass n.过街天桥vt.胜过,通过,忽视
resplendence n．灿烂，辉煌
awfully ad.令人畏惧的；很
cent n.美分（100cents“＝”1dollar）
screed n．冗长的演说，长篇大论的文章
spice n.香料，调味品；香气
screen n.幕，荧光屏
pedagogy n．教育学，教学法
autonomous a.自治的，自主的
vibration n.颤动，振动；摆动
trial n.审判；试验；试用
psychosis n．精神病,变态心理
perception n．洞察力，理解力
saturation n.饱和(状态)；浸透
undertake v.承担，从事，负责
bridle n．马笼头v．抑制，控制
libellous adj．诽谤的
entrance n.入口；入场；进入的权利;入学许可
motley adj．混杂的，杂色的
moist a.湿润的；多雨的
charlatan n．江湖郎中，骗子
below prep.在……下面
lay/laid v.下蛋；产蛋
anticipatory adj预期的
acoustic adj．听觉的，有关声音的
estate n.等级,地产
articulate v．清楚说话，接合
gastronomy n．美食法，美食学
spicy a.加很多香料的；(口味)浓郁的
traverse v．横过，扫过
rigorous adj．严厉的，严格的．
yell v.叫喊，吼叫
secular adj．世俗的、尘世的
tribe n.部落，宗族
effete adj．无生产力的，虚弱的
foetus,fetus n．胎儿
amusement n.娱乐
infatuated adj．迷恋（人）的
Ms n.女士用在婚姻状况不明的女子姓名前）
elderly a.较老的，年长的n.[the～]到了晚年的人
ferocity n．凶猛，残暴
trick n.诡计，把戏
ravishment n．狂喜，陶醉
harden vt.使变硬vi.变硬
